frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,_ws.col.protocol,frame.len
"1","Feb  9, 2025 01:29:22.694218255 IST","185.125.190.82","172.20.0.5","80","42272","TCP","1494"
"2","Feb  9, 2025 01:29:22.694326596 IST","185.125.190.82","172.20.0.5","80","42272","TCP","1494"
"3","Feb  9, 2025 01:29:22.694331715 IST","185.125.190.82","172.20.0.5","80","42272","TCP","1494"
"4","Feb  9, 2025 01:29:22.694383392 IST","172.20.0.7","185.125.190.82","33680","80","TCP","86"
"5","Feb  9, 2025 01:29:22.694437704 IST","91.189.91.83","172.20.0.9","80","45282","TCP","1494"
"6","Feb  9, 2025 01:29:22.694443084 IST","172.20.0.9","91.189.91.83","45282","80","TCP","86"
"7","Feb  9, 2025 01:29:22.694484209 IST","91.189.91.83","172.20.0.9","80","45282","TCP","1494"
"8","Feb  9, 2025 01:29:22.694563777 IST","172.20.0.5","185.125.190.82","42272","80","TCP","94"
"9","Feb  9, 2025 01:29:22.694578284 IST","91.189.91.83","172.20.0.2","80","43416","TCP","2922"
"10","Feb  9, 2025 01:29:22.694884237 IST","185.125.190.82","172.20.0.7","80","33680","TCP","4350"
"11","Feb  9, 2025 01:29:22.694900654 IST","185.125.190.83","172.20.0.8","80","43284","TCP","5778"
"12","Feb  9, 2025 01:29:22.695048711 IST","185.125.190.83","172.20.0.10","80","45774","TCP","2922"
"13","Feb  9, 2025 01:29:22.695066800 IST","185.125.190.82","172.20.0.5","80","42272","TCP","4350"
"14","Feb  9, 2025 01:29:22.695074707 IST","172.20.0.8","185.125.190.83","43284","80","TCP","94"
"15","Feb  9, 2025 01:29:22.695248572 IST","172.20.0.10","185.125.190.83","45774","80","TCP","66"
"16","Feb  9, 2025 01:29:22.695573660 IST","91.189.91.83","172.20.0.9","80","45282","TCP","2922"
"17","Feb  9, 2025 01:29:22.695576470 IST","185.125.190.82","172.20.0.7","80","33680","TCP","4350"
"18","Feb  9, 2025 01:29:22.695598394 IST","172.20.0.9","91.189.91.83","45282","80","TCP","78"
"19","Feb  9, 2025 01:29:22.695603284 IST","172.20.0.2","91.189.91.83","43416","80","TCP","78"
"20","Feb  9, 2025 01:29:22.695880633 IST","185.125.190.82","172.20.0.5","80","42272","TCP","4350"
"21","Feb  9, 2025 01:29:22.695901187 IST","185.125.190.83","172.20.0.8","80","43284","TCP","5778"
"22","Feb  9, 2025 01:29:22.696001287 IST","172.20.0.7","185.125.190.82","33680","80","TCP","86"
"23","Feb  9, 2025 01:29:22.696181937 IST","172.20.0.5","185.125.190.82","42272","80","TCP","94"
"24","Feb  9, 2025 01:29:22.696189633 IST","91.189.91.83","172.20.0.2","80","43416","TCP","2922"
"25","Feb  9, 2025 01:29:22.696292585 IST","185.125.190.82","172.20.0.7","80","33680","TCP","4350"
"26","Feb  9, 2025 01:29:22.696718589 IST","185.125.190.82","172.20.0.5","80","42272","TCP","4350"
"27","Feb  9, 2025 01:29:22.696757785 IST","91.189.91.83","172.20.0.9","80","45282","TCP","2922"
"28","Feb  9, 2025 01:29:22.696799958 IST","185.125.190.83","172.20.0.8","80","43284","TCP","1494"
"29","Feb  9, 2025 01:29:22.697016221 IST","172.20.0.8","185.125.190.83","43284","80","TCP","94"
"30","Feb  9, 2025 01:29:22.697043731 IST","185.125.190.83","172.20.0.8","80","43284","TCP","1494"
"31","Feb  9, 2025 01:29:22.697082919 IST","185.125.190.82","172.20.0.7","80","33680","TCP","1494"
"32","Feb  9, 2025 01:29:22.697144321 IST","185.125.190.83","172.20.0.8","80","43284","TCP","4350"
"33","Feb  9, 2025 01:29:22.697170095 IST","185.125.190.82","172.20.0.7","80","33680","TCP","2922"
"34","Feb  9, 2025 01:29:22.697299055 IST","172.20.0.2","91.189.91.83","43416","80","TCP","78"
"35","Feb  9, 2025 01:29:22.697401909 IST","172.20.0.7","185.125.190.82","33680","80","TCP","86"
